    q_len    kv_len     batch        v0        v1        v2        v3 flashinfer_prefill flashinfer_xqa flashinfer_trtllm xqa/prefill    v1/xqa    v2/xqa    v3/xqa
        2      1024         1    7345.1    1400.8     101.5      78.6      80.8      72.1      87.1     1.12x    19.42x     1.41x     1.09x
        2      1024         4    8399.2    1443.6     106.7      83.4     143.9      66.1      89.9     2.18x    21.84x     1.61x     1.26x
        2      1024        16   21313.0    2994.0     260.8     141.7     370.2     105.2     127.6     3.52x    28.46x     2.48x     1.35x
        2      8192         1   59501.1   11845.7     226.6     110.5     390.2      80.0     102.4     4.88x   148.07x     2.83x     1.38x
        2      8192         4   67051.5   12082.3     527.9     250.0     668.6     141.0     161.4     4.74x    85.68x     3.74x     1.77x
        2      8192        16  171669.1   24976.1    2014.2     834.6    2134.0     366.8     376.5     5.82x    68.08x     5.49x     2.27x
        2     32768         1  285680.3   64142.6     632.1     269.9    1230.1     117.0     128.6    10.51x   548.26x     5.40x     2.31x
        2     32768         4  287787.2   61557.1    1991.0     874.6    2410.0     367.6     381.2     6.56x   167.45x     5.42x     2.38x
        2     32768        16  714138.9  127401.0    7647.4    3158.3    8338.8    1307.2    1323.4     6.38x    97.46x     5.85x     2.42x
        4      1024         1    7616.9    1417.0     100.5      79.2      76.3      45.3      55.7     1.69x    31.29x     2.22x     1.75x
        4      1024         4   11645.4    1507.6     175.0      94.5     116.8      49.0      60.9     2.39x    30.79x     3.57x     1.93x
        4      1024        16   38761.2    4584.1     443.8     247.5     315.5      80.3      93.2     3.93x    57.10x     5.53x     3.08x
        4      8192         1   60897.9   11882.6     328.4     149.8     344.7      60.6      72.5     5.69x   196.16x     5.42x     2.47x
        4      8192         4   93039.8   12418.4     989.5     448.8     644.4     122.1     133.9     5.28x   101.67x     8.10x     3.67x
        4      8192        16  310673.8   37793.9    3255.3    1597.6    2140.2     360.7     376.4     5.93x   104.77x     9.02x     4.43x
        4     32768         1  277792.6   61327.3    1083.3     478.3    1230.4     117.9     130.5    10.43x   520.08x     9.19x     4.06x
        4     32768         4  390466.9   62494.2    3870.4    1637.3    2417.0     368.5     382.8     6.56x   169.60x    10.50x     4.44x
        4     32768        16 1267998.7  189963.7   12629.1    6239.4    8358.0    1309.2    1325.9     6.38x   145.10x     9.65x     4.77x
        8      1024         1    8385.5    1431.3     106.4      82.8      74.4      44.6      55.5     1.67x    32.09x     2.39x     1.86x
        8      1024         4   21282.8    2986.3     262.1     141.1     117.7      50.1      60.7     2.35x    59.63x     5.23x     2.82x
        8      1024        16   73140.0    7738.8     818.1     438.5     319.0      83.7      93.6     3.81x    92.48x     9.78x     5.24x
        8      8192         1   67088.1   12031.0     524.0     249.3     344.1      60.4      72.5     5.70x   199.14x     8.67x     4.13x
        8      8192         4  171303.8   24872.1    2012.3     832.5     644.4     122.6     132.4     5.26x   202.83x    16.41x     6.79x
        8      8192        16  586694.7   63832.5    6161.5    3129.9    2155.3     373.9     384.0     5.76x   170.74x    16.48x     8.37x
        8     32768         1  287258.1   61562.4    1987.6     873.9    1246.8     122.4     134.1    10.19x   502.96x    16.24x     7.14x
        8     32768         4  713025.4  128637.5    7642.9    3165.7    2437.6     370.3     383.4     6.58x   347.41x    20.64x     8.55x
        8     32768        16 2372510.3  318707.0   24252.8   12354.6    8359.7    1315.1    1334.3     6.36x   242.34x    18.44x     9.39x
       16      1024         1         -         -         -         -      75.2      44.5      56.2     1.69x         -         -         -
       16      1024         4         -         -         -         -     115.9      66.6      78.4     1.74x         -         -         -
       16      1024        16         -         -         -         -     314.8     153.0     179.9     2.06x         -         -         -
       16      8192         1         -         -         -         -     340.7      84.4      96.1     4.04x         -         -         -
       16      8192         4         -         -         -         -     643.7     208.1     221.3     3.09x         -         -         -
       16      8192        16         -         -         -         -    2138.9     686.9     699.6     3.11x         -         -         -
       16     32768         1         -         -         -         -    1230.8     192.7     204.7     6.39x         -         -         -
       16     32768         4         -         -         -         -    2408.9     688.4     701.2     3.50x         -         -         -
       16     32768        16         -         -         -         -    8357.2    2579.9    2594.3     3.24x         -         -         -
